iter	Passed	Remaining
0	152	152836
1	156	77958
2	159	52975
3	162	40403
4	166	33045
5	169	28096
6	173	24663
7	176	21904
8	179	19720
9	181	17984
10	184	16562
11	186	15378
12	189	14390
13	192	13531
14	194	12781
15	197	12125
16	199	11542
17	202	11036
18	205	10599
19	207	10182
20	210	9802
21	212	9458
22	215	9146
23	218	8874
24	220	8618
25	223	8378
26	226	8149
27	228	7943
28	231	7744
29	234	7580
30	236	7404
31	239	7242
32	242	7091
33	244	6957
34	248	6843
35	251	6738
36	254	6623
37	257	6524
38	260	6421
39	263	6328
40	266	6232
41	269	6140
42	271	6049
43	274	5970
44	277	5887
45	280	5827
46	283	5748
47	286	5677
48	288	5602
49	291	5534
50	293	5469
51	296	5410
52	299	5349
53	301	5289
54	304	5230
55	306	5174
56	309	5120
57	312	5073
58	314	5023
59	317	4974
60	319	4925
61	322	4880
62	325	4837
63	327	4795
64	330	4752
65	332	4711
66	335	4671
67	338	4632
68	340	4598
69	343	4565
70	346	4532
71	349	4498
72	351	4463
73	354	4431
74	357	4406
75	360	4378
76	362	4347
77	365	4317
78	367	4286
79	370	4259
80	373	4234
81	375	4207
82	378	4180
83	381	4155
84	383	4128
85	386	4104
86	389	4086
87	392	4066
88	395	4046
89	397	4022
90	400	4000
91	403	3986
92	406	3965
93	409	3944
94	411	3922
95	414	3903
96	417	3883
97	420	3870
98	423	3850
99	425	3831
100	428	3811
101	430	3793
102	433	3777
103	436	3764
104	439	3745
105	442	3729
106	444	3711
107	447	3696
108	450	3682
109	453	3670
110	456	3653
111	458	3637
112	461	3621
113	464	3608
114	467	3595
115	469	3580
116	472	3565
117	475	3552
118	477	3538
119	481	3527
120	483	3513
121	486	3498
122	488	3484
123	491	3473
124	494	3459
125	497	3452
126	500	3439
127	503	3426
128	505	3414
129	508	3403
130	511	3392
131	514	3382
132	516	3369
133	519	3357
134	522	3347
135	525	3335
136	528	3327
137	530	3316
138	533	3304
139	536	3293
140	538	3281
141	541	3271
142	544	3262
143	547	3252
144	549	3240
145	552	3229
146	554	3219
147	557	3211
148	560	3201
149	563	3191
150	565	3181
151	568	3172
152	571	3161
153	574	3154
154	577	3146
155	579	3136
156	582	3127
157	585	3118
158	587	3108
159	590	3101
160	593	3093
161	596	3086
162	599	3077
163	601	3068
164	604	3061
165	607	3054
166	610	3047
167	613	3038
168	616	3029
169	618	3020
170	621	3013
171	625	3008
172	627	2999
173	630	2992
174	632	2983
175	636	2980
176	640	2975
177	642	2969
178	645	2960
179	648	2953
180	651	2947
181	654	2940
182	656	2932
183	659	2924
184	662	2916
185	664	2909
186	668	2904
187	670	2898
188	673	2890
189	676	2883
190	679	2876
191	681	2869
192	685	2865
193	688	2858
194	690	2850
195	693	2844
196	695	2836
197	699	2833
198	702	2826
199	704	2819
200	707	2812
201	710	2805
202	713	2800
203	716	2794
204	718	2787
205	721	2781
206	724	2774
207	727	2768
208	730	2763
209	733	2758
210	735	2751
211	738	2744
212	741	2738
213	744	2735
214	747	2730
215	750	2724
216	753	2717
217	755	2711
218	759	2707
219	762	2703
220	765	2696
221	768	2691
222	770	2684
223	773	2679
224	776	2675
225	779	2670
226	782	2664
227	787	2664
228	793	2670
229	797	2669
230	801	2667
231	805	2666
232	809	2663
233	812	2658
234	816	2658
235	819	2652
236	822	2647
237	825	2642
238	827	2635
239	830	2630
240	833	2623
241	835	2617
242	839	2614
243	841	2608
244	844	2602
245	847	2597
246	849	2591
247	853	2586
248	855	2581
249	858	2575
250	861	2569
251	863	2564
252	866	2558
253	869	2554
254	872	2548
255	874	2542
256	877	2536
257	879	2530
258	882	2524
259	885	2519
260	887	2514
261	890	2508
262	892	2502
263	895	2496
264	898	2490
265	900	2486
266	903	2480
267	905	2474
268	908	2468
269	910	2462
270	913	2456
271	916	2452
272	918	2446
273	921	2440
274	923	2434
275	926	2429
276	928	2424
277	931	2420
278	934	2414
279	937	2409
280	939	2404
281	942	2399
282	945	2394
283	948	2390
284	950	2384
285	953	2379
286	955	2374
287	958	2368
288	961	2364
289	964	2360
290	966	2354
291	969	2349
292	971	2344
293	974	2339
294	977	2335
295	980	2331
296	982	2325
297	985	2321
298	987	2315
299	990	2310
300	993	2306
301	996	2302
302	998	2297
303	1001	2291
304	1003	2286
305	1006	2282
306	1009	2277
307	1011	2273
308	1014	2268
309	1016	2263
310	1019	2258
311	1022	2254
312	1025	2250
313	1028	2246
314	1030	2241
315	1033	2236
316	1035	2231
317	1039	2228
318	1041	2224
319	1044	2219
320	1047	2214
321	1050	2210
322	1052	2205
323	1055	2202
324	1058	2198
325	1061	2194
326	1064	2189
327	1066	2184
328	1069	2180
329	1072	2177
330	1075	2173
331	1077	2168
332	1080	2164
333	1083	2159
334	1086	2156
335	1089	2152
336	1091	2147
337	1094	2143
338	1097	2139
339	1099	2134
340	1102	2131
341	1105	2127
342	1108	2122
343	1110	2118
344	1113	2113
345	1116	2110
346	1119	2106
347	1121	2102
348	1124	2098
349	1127	2093
350	1129	2089
351	1133	2085
352	1135	2081
353	1138	2077
354	1141	2073
355	1144	2069
356	1146	2065
357	1150	2062
358	1153	2058
359	1155	2054
360	1158	2050
361	1161	2046
362	1163	2042
363	1167	2039
364	1169	2034
365	1172	2030
366	1174	2026
367	1177	2022
368	1180	2018
369	1183	2014
370	1185	2010
371	1188	2006
372	1190	2001
373	1194	1998
374	1196	1994
375	1200	1992
376	1203	1988
377	1206	1985
378	1210	1983
379	1213	1980
380	1216	1976
381	1219	1972
382	1221	1968
383	1225	1965
384	1228	1961
385	1231	1958
386	1233	1953
387	1236	1950
388	1239	1947
389	1242	1943
390	1245	1939
391	1248	1935
392	1250	1932
393	1253	1928
394	1257	1925
395	1261	1924
396	1264	1920
397	1266	1916
398	1269	1912
399	1273	1910
400	1277	1907
401	1280	1904
402	1283	1900
403	1287	1898
404	1290	1895
405	1292	1891
406	1295	1887
407	1297	1883
408	1301	1880
409	1305	1878
410	1308	1874
411	1310	1870
412	1313	1866
413	1316	1864
414	1319	1860
415	1322	1856
416	1325	1852
417	1328	1849
418	1331	1846
419	1334	1842
420	1337	1839
421	1340	1835
422	1342	1831
423	1345	1827
424	1348	1824
425	1351	1820
426	1353	1816
427	1356	1813
428	1359	1809
429	1362	1806
430	1365	1802
431	1367	1798
432	1370	1794
433	1373	1790
434	1375	1787
435	1379	1784
436	1382	1780
437	1385	1777
438	1387	1773
439	1390	1769
440	1393	1766
441	1396	1763
442	1399	1759
443	1401	1755
444	1404	1751
445	1407	1748
446	1410	1745
447	1413	1741
448	1416	1737
449	1419	1734
450	1421	1730
451	1425	1728
452	1428	1724
453	1430	1720
454	1433	1717
455	1436	1713
456	1439	1710
457	1442	1707
458	1445	1703
459	1448	1700
460	1451	1696
461	1454	1693
462	1457	1690
463	1459	1686
464	1462	1682
465	1465	1679
466	1468	1675
467	1475	1677
468	1479	1675
469	1483	1672
470	1490	1673
471	1493	1671
472	1497	1667
473	1500	1665
474	1503	1661
475	1506	1658
476	1509	1654
477	1511	1650
478	1514	1646
